id,source,hyp1,hyp2,prediction
90,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",I en skottväxling vid en grundskola i Nevada har två personer mist livet medan två andra har skadats.,I en skottväxling vid en grundskola i Nevada har fyra personer mist livet medan andra har skadats.,hyp2
91,Utredare undersöker motiven för LAX-flygplatsens skytt.,En utredare granskar eller tittar på orsakerna till att skytten vid flygplatsen LAX agerade som han gjorde.,En utredare granskar eller tittar på orsakerna till att skytten vid flygplatsen LAX kommer agera som han gjorde.,hyp2
92,"""Ändå kan den \'något tvetydiga domen\' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.","Steven Milunovich, en analyst från Merrill Lynch, föreslog att Static Controls möjliga oklara seger i en rättsprocess kunde potentiellt vara ett nackdel för företaget, beroende på hur de skapat sin konkurrerande produkt.","Steven Milunovich, en analytiker från Merrill Lynch, föreslog att den flertydiga domen i rättsprocess kunde potentiellt vara ett nackdel för företaget Static Controls, beroende på hur de skapade sin konkurrerande produkt.",hyp2
93,International atomic energy association är Förenta nationernas vakthund.,Internationella atomenergiorganet (IAEA) fungerar som NATO:s väktare inom området för atomenergi.,Internationella atomenergiorganet (IAEA) fungerar som FN:s väktare inom området för atomenergi.,hyp1
94,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,"Under det andra kvartalet, förlorade blackberry 965 miljoner USD.","Under det andra kvartalet, upplevde blackberry en nedgång på 965 miljoner USD.",hyp2
95,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,Den mexikanska högsta domstolen har antagit flera åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,Den mexikanska regeringen har antagit flera åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,hyp1
96,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,Indiska soldater som redan kämpar mot upprorsmän i Kashmir är nu involverade i en stor operation för att förstöra vallmogrödor i området.,Indiska soldater som redan kämpar mot upprorsmän i Kashmir är nu involverade i en stor operation för att förstöra senapsgrödor i området.,hyp2
97,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,Nyligen inträffade två explosioner i närheten av målområdet under Boston maraton.,Uppdatering om två explosioner i närheten av målområdet under Boston maraton.,hyp2
98,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.",Mandela togs på nytt in på sjukhus och hans tillstånd är allvarligt men stabilt.,"Den tidigare presidenten Nelson Mandela har återvänt till ett sjukhus i Sydafrika efter att ha lagts in för en medicinsk utvärdering, hans advokat bekräftade på måndagen. Mandela lades in på sjukhus under söndagen och undersöktes av läkare efter att ha upplevt andningssvårigheter och huvudvärk. Hans advokat Makaziwe Mandela sa att han var vid gott mod och förväntades skrivas ut snart.",hyp1
99,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,Syrien nekar inte till att det finns ett kärnkraftsprogram som är offentligt känt.,Syrien nekar till att det finns ett kärnkraftsprogram som inet är offentligt känt.,hyp2
100,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Tyfonen orsakar över 100 dödsoffer i centrala Filippinerna.,Tyfonen orsakar över 100 dödsoffer i centrala Indonesien.,hyp2
101,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland gav sitt godkännande till den reviderade upplagan av avtalet.,England gav sitt godkännande till den reviderade upplagan av avtalet.,hyp2
102,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,En mycket kraftig jordbävning har träffat det det än så länge oskadade området i Pakistan.,En mycket kraftig jordbävning har träffat det skadade området i Pakistan.,hyp1
103,Man som satte eld på sig själv på National Mall dör av skador.,Mannen som tände eld på sig själv på National Mall dör av sina skador.,"En man satte eld på sig själv på National Mall, vilket orsakade allvarliga skador. Händelsen inträffade strax efter att han hade kastat en brandbomb mot vita huset och ropade ""död åt Amerika!"" innan han sprang in i folkmassan och satte eld på sig själv. Mannen fördes till sjukhus med brännskador och andningsbesvär men hans liv var inte i fara.",hyp2
104,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,"Du kommer att hitta på nya idéer! Jag kommer att bli trött och känna mig begränsad, eftersom min natur är sådan.","Du kommer att hitta på nya idéer! Jag var trött och kände mig begränsad, eftersom min natur var sådan.",hyp1
105,USA tror att den Syriska regeringen använde kemiska vapen.,USA har uppfattningen att kemiska vapen användes av den syriska regeringen.,"Den amerikanska regeringen har kommit fram till slutsatsen att den syriska regeringen sannolikt låg bakom användningen av kemiska vapen i Idlib-provinsen den 4 april. Detta baseras på en kombination av bevis, inklusive satellitbilder, ögonvittnesrapporter och intervjuer med offer och experter. Usa kommer dock inte att bekräfta eller förneka förekomsten av kemiska vapen förrän en oberoende utredning har genomförts.",hyp1
106,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,Påven argumenterar mot åtgärder mot klimatförändringar i utkastet till en encyklika.,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till en encyklika.,hyp1
107,Helmand-provinsen är världens största opiumproducerande region.,"Odling av opium är mest utbredd i Helmand-provinsen, vilket gör det till världens största producent av opium.","Odling av opium är inte utbredd i Helmand-provinsen, vilket gör det till världens största producent av opium.",hyp2
108,En flicka som leker i en hög med färgglada bollar.,"En bild av en ung flicka som ligger på rygg, hennes ben upprätade och fötterna dinglar över kanten på en säng eller soffa. Hon har på sig en ljusgul t-shirt och shorts, och hennes hår är kammat åt sidan i en elegant hästsvans. Hennes ögon är slutna, och hon ser fridfull ut, som om hon är helt absorberad i leken.",En tjej som leker i ett bollhav.,hyp1
109,Egyptens ledare inför undantagstillstånd i tre städer.,I tre städer införs undantagstillstånd av Egyptens ledare.,För att hantera en viss situation har Egyptens ledare implementerat undantagstillstånd i tre städer. ,hyp1
110,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Det blir ett tal från Obama angående Syrien från det amerikanska vita huset kl. 13:15 EDT.,Det blir ett tal från Obama angående Syrien från det amerikanska vita huset kl. 15:13 EDT.,hyp2
111,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland ratificerade den nya versionen av fördraget.,"Rysslands regering har godkänt och undertecknat det reviderade fördraget om icke-spridning av kärnvapen (NPT) i New York City, USA, den 26 september 2022. Detta avslutade en 30 år lång process som inleddes efter att det ursprungliga NPT antogs 1970. fördraget trädde i kraft den 5 mars 2",hyp2
112,En svartvit bild av en katt som ligger på en matta.,Ett svartvitt foto av en katt på en matta.,"En söt, liten kattunge ligger bekvämt på sin mjuka, vita säng. De fluffiga öronen är vinklade tillbaka och de söta ögonen tittar försiktigt upp på dig med ett uttryck av lugn och ro.",hyp2
113,Kevin Rudd svors in som Australiens premiärminister.,Kevin Rudd tilträdde sitt ämbete som premiärminister i Australien.,"Den 2 juli 2013 svor Kevin Rudd, ledare för det australiska arbetarpartiet (AWP), in som landets 28:e premiärminister. Han efterträdde Julia Gillard, som hade tjänstgjort i två mandatperioder.",hyp1
114,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Invånare i Texas som har belastats med orimligt höga hemförsäkringspremier kan äntligen dra en lättnadens suck.,Invånare i Texas som har belastats med orimligt höga fastighetsskatter kan äntligen få lindring.,hyp2
115,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,Uppdatering: Nära målet i Boston Marathon inträffade två explosioner.,"Två explosioner inträffade under loppet av Boston maraton, vilket dödade tre personer och skadade 264. Explosionerna inträffade vid 8:00 lokal tid (13:00 UTC) på Boylston Street, bara några meter från målgången. Det är ännu inte klart vad som orsakade explosionerna, men myndigheterna misstänker att de var terrorrelaterade.",hyp2
116,Anthony Weiner halkar ned till fjärde plats i ny omröstning.,Anthony Weiner halkar till fjärde plats i ny omröstning,"Enligt en ny opinionsundersökning från Quinnipiac University, är New York representanten Anthony Weiner nu rankad som nummer fyra bland demokratiska kandidater för presidentvalet 2020. Han har sjunkit till fjärde plats sedan förra månaden, men hans nedgång har varit långsammare än vissa andra konkurrenter.",hyp1
117,Östtimor förbjuder kampsportsklubbar på grund av mord.,"I Östtimor ska man förbjuda klubbar som utövar kampsporter, som ett resultat av dödliga våldshandlingar.","I Östtimor har man förbjudit klubbar som utövar kampsporter, som ett resultat av dödliga våldshandlingar.",hyp2
118,Egyptens ledare inför undantagstillstånd i tre städer.,Ledarna i Egypter utfärdar undantagstillstånd i tre städer.,"Enligt egyptens officiella nyhetsorgan, har president Abdel Fattah Al-Sisi utfärdat ett dekret som utlyser undantagstillstånd i städerna Alexandria, Cairo och Suez. Detta dekret kommer att ge regeringen utökade befogenheter att vidta åtgärder för att kontrollera spridningen av coronavirussjukdomen (covid-19). Undantagstillståndet kommer att vara i kraft.",hyp1
