id,source,hyp1,hyp2,prediction
160,"In a similar manner, I could accept the proposed Amendment No 11, which would require the same separation but in a shorter time period.","I could not accept the proposed Amendment No 11, which would require the same separation but in a longer time period.","I could accept the proposed Amendment No 11, which would require the same separation as in the original proposal but in a shorter time period.",hyp1
161,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing.","A gradual decrease of 3% will mainly impact industries that benefit the most from subsidies, like tobacco cultivation.","A sudden cut of 3% will have a minimal effect on sectors that heavily rely on government assistance, like tobacco farming.",hyp2
162,"Women make up 80 % of the people who carry out secretarial and office work, while men occupy 87 % of the managerial positions.","The majority of secretarial and office work is done by women, whereas most managerial positions are held by men.","Men dominate the secretarial and office work sector, with women holding the majority of managerial positions.",hyp2
163,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.","Earlier, I mentioned the concept of inherited inertia, which brings me to the third set of amendments mentioned by Mr. Fabre-Aubrespy.","Madam President, I talked about the concept of genetic momentum, which brings me to the third set of amendments, as mentioned by Mr. Fabre-Aubrespy.",hyp2
164,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","A way to tax all kinds of cross-border capital movements carried out for profit will help to limit the increase in the volume of parasitic, speculative capital.","A way to tax all kinds of cross-border capital movements carried out for profit will not have a significant impact on the increase in the volume of parasitic, speculative capital.",hyp2
165,"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.","In the winter, it could be easy to organize surveillance operations to spot the sturdy vessels used for the crossing.","During the summer, it might be feasible to establish monitoring activities to identify the fragile boats utilized for the journey.",hyp1
166,"In addition, television campaigns designed to dissuade would-be immigrants from making the crossing could be broadcast on television in northern Morocco."," additionally, tv commercials aiming to deter prospective migrants from undertaking the voyage could be shown on tv in the north of morocco."," furthermore, tv advertisements discouraging potential immigrants from attempting the journey could be aired on northern moroccan television.",
167,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,Establishing a comprehensive social safety net at the European level is essential for workers whose employment does not conform to traditional norms.,The European Union should prioritize the development of a space program over creating social protection for non-traditional workers.,hyp2
168,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","Consequently, I am suggesting a decrease in the premiums for all types of leaf tobacco for the 1999, 2000, and 2001 harvests.","As a result, I am proposing a rise in the prices of all types of leaf tobacco for the harvests of 1999, 2000, and 2001.",hyp1
169,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe., the tool has allowed us to make money and spend it on personal hobbies in european countries., the tool has helped us foster a sharing of ideas and skills while promoting initiatives to enhance competency across europe.,hyp1
170,Establishing a new framework directive is certainly going to take some doing: the way it was dealt with at first reading was extremely confusing.,Creating a new framework directive will definitely require effort: the initial handling of it was very perplexing.,Developing a fresh framework directive will be a piece of cake: the initial approach to it was crystal clear.,hyp2
171,People would think we were mad if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate., individuals might find it absurd if we claimed that motorists would be permitted to drive their vehicles on the road without proof of insurance starting from tomorrow.," it's unlikely that anyone would believe us if we announced that car owners could operate their vehicles on public roads without insurance papers, starting from the next day.",
172,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.,We need to be mindful of the potential consequences of voting on Amendment No 98 to avoid any contradictions.,Voting on Amendment No 98 will undoubtedly lead to a unified and consistent outcome.,hyp2
173,"At the end of 1997, the Commission put forward a controversial proposal for the harmonisation of copyright law in the Community.",The Commission's proposal for the harmonisation of copyright law in the Community in 1997 was controversial.,The Commission's proposal for the harmonisation of copyright law in the Community in 1997 was widely supported.,hyp2
174,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union."," the member states in the mediterranean region are the only ones concerned with this problem, and it does not impact the european union as a whole."," the issue at hand is not just significant for countries in the mediterranean region, but it also extensively affects the entire european union.",hyp1
175,"I am referring more particularly here to Amendments Nos 4 and 33, which provide for the directive to be monitored by the Commission.","I am specifically discussing Amendments Nos 4 and 33, which outline the responsibilities of the Commission in enforcing the directive.","I am specifically talking about Amendments Nos 4 and 33, which state that the Commission should oversee the implementation of the directive.",hyp1
176,"But at that time the agricultural proportion of the budget, accounting for over 70 %, was considerably higher than it is today.","During that era, the budget was primarily dominated by agricultural expenses, making up more than 70% of the total, which is not the case today.","However, during that period, the agricultural sector's share of the budget, which was more than 70%, was significantly greater than it is now.",
177,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,It is long overdue to establish a suitable level of social security at the European level for individuals whose employment does not conform to the typical structure.,It is essential to implement a comprehensive social welfare system at the European level for workers who follow the traditional employment model.,hyp2
178,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out.","The crisis brought about a culmination of events, leading to a complete overhaul of the Augean stable.","The crisis brought about a surge in demand for the Augean stable, resulting in its swift cleaning out.",hyp2
179,How is rail transport supposed to compete with road transport if large containers cannot be brought to the trains and we are therefore forced to accept the 44 tonne limit?," in what way can rail transportation hope to match the efficiency of road transportation when the handling of bulky cargo is not feasible, thus compelling us to comply with the 44-tonne weight restriction?"," if we can't load big containers onto trains, how can rail transport ever rival the convenience of road transport, given the 44-tonne limit?",
180,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","An decrease in premiums for leaf tobacco is necessary for the 1999, 2000 and 2001 harvests.","An increase in premiums for leaf tobacco is necessary for the 1999, 2000 and 2001 harvests.",hyp1
181,"Environmental considerations must feature prominently in this process, particularly sustainable development, as it is one of the distinguishing features of the European Union.",Environmental considerations will not be a major factor in the process.,"Environmental considerations will be a significant factor in the process, particularly sustainable development, as it is a distinguishing feature of the European Union.",hyp1
182,"Environmental considerations must feature prominently in this process, particularly sustainable development, as it is one of the distinguishing features of the European Union.","Environmental considerations are not important in this process, as it is not one of the distinguishing features of the European Union.","Environmental considerations are an integral part of this process, especially sustainable development, which is a distinguishing feature of the European Union.",hyp1
183,Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting.,The declaration of No. 39 annexed to the Treaty of Amsterdam is a declaration related to the quality of painting.,The declaration of No. 39 annexed to the Treaty of Amsterdam is a declaration related to the quality of drafting.,hyp1
184,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.",Amendment No 3 discusses the creation of a new Community plan of action that is yet to be established.,Amendment No 3 pertains to the implementation of a Community action plan that has already been set up.,hyp1
185,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.","This development is negative, and I unfortunately cannot endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.","This development is positive, and I wholeheartedly endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.",hyp1
186,"Cigarettes account for the other 95 %, but as far as they are concerned, this report only deals with technical adjustments to the taxation regime.","Cigarettes represent the remaining 95% of the total tax burden, therefore, this report primarily focuses on technical adjustments to the taxation regime related to cigarettes.","Cigarettes constitute the majority of the tax burden, but this report primarily focuses on technical adjustments to the taxation regime related to other tobacco products.",hyp2
187,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months' time.",The ISO will have a label ready for the summer of 1999 in a few months’ time.,The ISO will not have a label ready for the summer of 1999 in a few months’ time.,hyp2
188,"In short, therefore, the Commission accepts Amendment Nos 1, 5, 6, 7, 8, 9 and 11, whilst rejecting Amendments Nos 2, 3, 4, 10 and 12.",The Commission accepts all of the proposed amendments.,"The Commission accepts a majority of the proposed amendments, albeit rejecting a few.",hyp1
189,"In addition, there will be no benefit to exchequers as the taxable interest payments will be outside the 15 Member States.",There will not be any benefit to exchequers as the taxable interest payments will not be included in the 15 Member States.,There will be a benefit to exchequers as the taxable interest payments will be included in the 15 Member States.,hyp2
190,"It is not only a pressing problem for the Member States in the Mediterranean region, but also concerns, to a large extent, the entire European Union.",The Mediterranean region is facing a critical issue that does not affect the European Union as a whole.,The issue is not only urgent for the countries in the Mediterranean area but also significantly impacts the whole European Union.,hyp1
191,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.",The type approval rules from 2005 must provide in precise terms that new cars must be environmentally friendly.,The type approval rules from 2005 must explicitly state that new cars must be recycling-friendly.,hyp1
192,Frontier regions where the inhabitants do not understand their neighbour's language cannot fully experience the single market at local level.," areas near borders, where locals struggle to comprehend each other's speech, may not fully benefit from the regional market."," zones with linguistic diversity, distinct from neighboring areas, might not completely engage with the local market due to communication barriers.",hyp2
193,People would think we were mad if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate.,It's likely that people would be shocked if we suddenly announced that drivers no longer need insurance to drive their vehicles.,People would probably be thrilled if we declared that drivers can take their cars on the road without an insurance certificate.,hyp2
194,"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider , the backlog, is concerned."," unrelated to the rapporteur's worry, the commission has its own concerns about a different matter entirely. (note"," the commission also shares the same concern as the rapporteur regarding the well-known issue of ral, which still needs to be cleared.",hyp1
195,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","I am urging a rise in the prices of all types of leaf tobacco for the 1999, 2000, and 2001 harvests.","I am advocating for a decrease in the prices of all types of leaf tobacco for the 1999, 2000, and 2001 harvests.",hyp2
196,"Cigarettes account for the other 95 %, but as far as they are concerned, this report only deals with technical adjustments to the taxation regime.","This report discusses only technical changes to the tax system, without considering the impact of cigarettes which account for 95%.","Cigarettes make up the remaining 95%, but this report focuses solely on technical changes to the tax system in relation to them.",hyp1
197,"In addition, television campaigns designed to dissuade would-be immigrants from making the crossing could be broadcast on television in northern Morocco.",Television campaigns in northern Morocco could be used to discourage people from migrating.,Television campaigns in northern Morocco could be used to encourage people to migrate.,hyp2
198,"That is precisely why we cannot give way to the unjustified US demand, even though and in fact just because they are threatening lunatic sanctions.",The US demand is justified and we should give way to it,We cannot give way to the unjustified US demand due to the threat of lunatic sanctions.,hyp1
199,"As a result of this investment, which I fully support, the suburban rail network will be increased in capacity in terms of over 60 %.",The suburban rail network will be expanded by a significant amount as a result of this investment.,The suburban rail network will be decreased in capacity as a result of this investment.,hyp2
200,"This concerns the applicant countries which are still in the process of membership negotiations, but which in the meantime are being discriminated against.",The applicant countries that are still in the process of membership negotiations are not being discriminated against.,The applicant countries that are still in the process of membership negotiations are being discriminated against.,hyp1
201,"The increase in the number of staff employed must be strictly controlled, and this is a point on which I disagree with the Committee of Wise Men.","The number of staff employed must be controlled, and this is a point on which I disagree with the Committee of Wise Men. The increase in staff must be managed carefully to ensure that it does not negatively impact the organization.","The increase in the number of staff employed must be strictly controlled, but I agree with the Committee of Wise Men on this point.",hyp2
202,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,"Berlin was the scene of the rise to fame of the subject, and it was to Berlin that he returned in 1945 to promote dialogue with the German people.","Berlin was not the scene of the rise to fame of the subject, and he did not return to Berlin in 1945 to promote dialogue with the German people.",hyp2
203,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities., it's crucial that we enhance the efficiency of external border investigations in the eu and focus on uncovering the primary paths for illicit activities.," it's fine if we ignore some investigations at the eu's external borders, and we don't have to look into all the routes used for illegal activities.",hyp2
204,"But the US, in threatening a trade boycott, is overstepping the bounds of that clear position and the bounds of the transatlantic partnership.",The US is exceeding the limits of its clear position and the transatlantic partnership by threatening a trade boycott.,The US is staying within the boundaries of its clear position and the transatlantic partnership by threatening a trade boycott.,hyp2
205,"The enlargement of the EU compels us to pay greater attention to these questions, a point which is also emphasised in the committee's proposals.","The enlargement of the EU has led to a decrease in our attention to these questions, as emphasized in the committee's proposals.","The enlargement of the EU has prompted us to pay closer attention to these questions, as emphasized in the committee's proposals.",hyp1
206,I want to say very clearly that the Commission is no longer be prepared to accept ever-increasing tasks without receiving the means to execute them.,I want to emphasize that the Commission will no longer accept additional responsibilities without adequate resources.,The Commission is willing to continue taking on more tasks without the necessary resources.,hyp2
207,"The Member States are, in other words, being asked to harmonise their economic policies - which is one of the reasons why I voted against this report."," the member states are suggested to coordinate their economic policies, a concept that i do not support and voted to reject."," essentially, the member states are being urged to align their economic policies, which is why i chose to oppose this proposal.",hyp2
208,"Madam President, in yesterday's International Herald Tribune, the following appeared in the section 'News from 50 years ago'.",The article in the International Herald Tribune yesterday contained news from 50 years ago.,The article in the International Herald Tribune yesterday contained news from 20 years ago.,hyp2
209,"B4-0188/99 by Mrs d'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier","The European Parliament has condemned the death penalty in the United States, specifically in the cases of Greg Summers and Leonard Peltier.","The European Parliament has commended the death penalty in the United States, specifically in the cases of Greg Summers and Leonard Peltier.",hyp2
210,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,"None of my proposed amendments were accepted, and my arguments against the excessive administrative burden proposed were ignored.","All of my proposed amendments were adopted, and my arguments against the ridiculous administrative burden proposed were heeded.",hyp2
211,"Mr Florenz said, in his nice way, that we would be taking a softer line and the directive would only apply from the year 2020.","Mr Florenz said, in his nice way, that we will be taking a harder line and the directive will apply from the year 2020.","Mr Florenz stated that we will be taking a softer line and the directive will only apply from the year 2020, which is essentially the same message as the source text, albeit rephrased.",hyp1
212,"In 1996, the Commission submitted its proposal to have Turkey included in the Socrates, Youth for Europe and Leonardo programmes.","The Commission proposed including Turkey in the Socrates, Youth for Europe and Leonardo programs in 1996.","The Commission decided to exclude Turkey from the Socrates, Youth for Europe and Leonardo programs in 1996.",hyp2
213,The current status quo of a 12-mile limit for the area is the best possible compromise for the whole of the French fishing sector.,"The 12-mile limit is a clear victory for the French fishing sector, securing their dominance in the region.",The 12-mile limit is the most reasonable middle ground for the French fishing industry as a whole.,hyp1
214,I want to say very clearly that the Commission is no longer be prepared to accept ever-increasing tasks without receiving the means to execute them.,"The Commission is committed to prioritizing tasks that are adequately resourced, ensuring effective execution.",The Commission has always been willing to take on new tasks without expecting additional resources.,hyp2
215,"At the end of 1997, the Commission put forward a controversial proposal for the harmonisation of copyright law in the Community.","By the start of 1998, the Commission had already implemented a new copyright framework for the entire world.","In December 1997, the Commission introduced a proposal for the unification of copyright regulations within the European Community.",hyp1
216,"Nevertheless, there are two particular points that cannot go unmentioned. The first relates to road transport and is the issue of working time.","However, there are two specific points that must be mentioned. The first concerns road transportation and involves the topic of working hours.","However, there are three specific points that must be mentioned. The first concerns road transportation and involves the topic of working hours.",hyp2
217,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development has made changes to four points which we believe will not be adopted.,The Committee on Agriculture and Rural Development has made changes to four points which we believe will be adopted.,hyp1
218,"However, I am opposed to the proposal contained in paragraph 8 of the resolution, because it will lead to increased supranationality.",The proposal contained in paragraph 8 of the resolution will likely lead to increased supranationality.,The proposal contained in paragraph 8 of the resolution will lead to decreased supranationality.,hyp2
219,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",The general public is more concerned about energy consumption and CO2 emissions because they are directly affected by it.,Politicians are particularly invested in addressing energy consumption and CO2 emissions due to their comprehension of the connection between the two.,hyp1
220,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.","On October 30th, 1997, the European Commission launched a cultural project to designate the European Capital of Culture.",The European Union has never had a project to create a single European city as its capital.,hyp2
221,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.", the use of this method could potentially result in a reduction of expenses by 10% and can be utilized exclusively on the shorter segments of a combined transportation trip.," this method can decrease costs by 10% and can be applied to all types of transportation journeys, regardless of their length.",hyp2
222,"Amendment No 3 refers to the putting in place of a Community plan of action which, however, has already been established.", amendment no 3 proposes the removal of an existing community action plan. (note," amendment no 3 pertains to the establishment of a community action plan, which has actually been set up beforehand.",hyp1
223,Another declaration to mention in this respect is Declaration No 39 annexed to the Treaty of Amsterdam on the quality of drafting.,Another point to note is Declaration No 39 attached to the Treaty of Amsterdam regarding the quality of writing.,Declaration No 39 is not relevant to the Treaty of Amsterdam on the quality of drafting.,hyp2
224,"This is also the reason why we cannot accept Amendment No 25 or Amendments Nos 46 and 54, but we can endorse Amendment No 43.","We can accept Amendments Nos 25, 46, and 54, but we cannot endorse Amendment No 43.","We cannot accept Amendments Nos 25, 46, and 54, but we can endorse Amendment No 43 due to the aforementioned reasons.",hyp1
225,The Council is making a mistake by leaving it entirely up to the United States to formulate proposals for a solution to the Middle East problem.,The Council is doing the right thing by letting the United States take the lead in finding a solution to the Middle East problem.,The Council's decision to rely solely on the United States for a solution to the Middle East issue is a misguided one.,hyp1
226,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,Berlin played a significant role in his ascent to stardom and he revisited the city in 1945 to engage in a conversation with the German citizens.,He never returned to Berlin after his initial success and instead focused on his international career.,hyp2
227,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea."," the dutch people have difficulty finding enough water to drink every day, particularly in the polders and the area where the meuse, rhine, and scheldt rivers converge."," there is a constant challenge with managing water in the netherlands, specifically in the polders and the delta where the meuse, rhine, and scheldt rivers meet the sea.",hyp1
228,"I had proposed to you that the Euro-11 be recognised in the Treaty, but my understanding was that Mr Spiers did not agree.","My suggestion to recognize the Euro-11 in the Treaty was met with disagreement from Mr Spiers, as I had anticipated.","The Euro-11 was never considered for recognition in the Treaty, despite my initial proposal to Mr Spiers.",hyp2
229,"Commissioner, the Malta forum will take place in March, and it is a great pity that the European Parliament will not be allowed to participate in it.","The Malta forum will not be a significant event, and the absence of the European Parliament will not be a major issue.","The Malta forum will be a great event, and it is unfortunate that the European Parliament will not be able to participate.",hyp1
230,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,"Despite the rejection of all my proposed changes, I continued to advocate for a more efficient administrative process.",The adoption of my amendments would have led to a significant reduction in unnecessary paperwork.,hyp2
231,"When I became a Member of the European Parliament in 1994, I was struck by the lack of knowledge and the total absence of understanding of the overseas territories.","Upon entering the European Parliament in 1994, I was amazed by the vast knowledge and deep understanding of the overseas territories.","Upon joining the European Parliament in 1994, I was surprised by the limited awareness and complete lack of comprehension regarding the overseas territories.",hyp1
232,"In Kyoto, the European Union committed itself to reducing greenhouse gas emissions by 8 % compared to 1990 levels before 2012.",The European Union committed itself to reducing greenhouse gas emissions by 8% compared to 1990 levels before 2012 in Tokyo.,The European Union committed itself to reducing greenhouse gas emissions by 8% compared to 1990 levels before 2012 in Kyoto.,hyp1
233,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out."," the crisis actually improved the situation, and it's now clear that they are going to keep this augean stable as dirty as it has always been."," indeed, the situation reached its boiling point during the crisis, and it has become clear beyond doubt that this filthy, neglected place will finally be cleaned up.",hyp1
234,"Commissioner, the Malta forum will take place in March, and it is a great pity that the European Parliament will not be allowed to participate in it.","The Malta forum will take place in March, and it is a great opportunity for the European Parliament to showcase its presence.","The Malta forum will take place in March, and it is a great pity that the European Parliament will not be able to participate in it.",hyp1
235,Establishing a new framework directive is certainly going to take some doing: the way it was dealt with at first reading was extremely confusing.,"The process of setting up a new framework directive will likely be a challenging task, given the initial confusion that arose during the first reading.","The new framework directive will be implemented with ease, as the first reading was crystal clear and straightforward.",hyp2
236,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital."," it is necessary to discover a method for imposing taxes on various types of cross-border financial transactions driven by profit, as this could help somewhat in reducing the growth of unproductive, speculative capital."," the government needs to locate a strategy for fining international transfers of money for any reason, in order to completely stop the rise in the amount of productive, investment capital.",hyp2
237,"Environmental considerations must feature prominently in this process, particularly sustainable development, as it is one of the distinguishing features of the European Union.","The process should prioritize economic factors over environmental concerns, as sustainable development is not a priority for the European Union.","Environmental factors should play a significant role in this procedure, especially focusing on sustainable development, which is a key characteristic of the European Union.",hyp1
238,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing."," a consistent, staggered reduction of 3% will mainly affect the industries that receive the most subsidies, including tobacco farming."," a fluctuating, random decrease of 3% will largely impact the sectors with the least support, such as vegetable cultivation.",hyp2
239,"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider , the backlog, is concerned.",The Commission concurs with the rapporteur's emphasis on addressing the remaining tasks from the RAL project.,The Commission has always prioritized the RAL project over other initiatives.,hyp2
240,"But at that time the agricultural proportion of the budget, accounting for over 70 %, was considerably higher than it is today.","The agricultural proportion of the budget, which was over 70%, was significantly higher than it is today.",The agricultural proportion of the budget was considerably lower than it is today.,hyp2
241,"I had proposed to you that the Euro-11 be recognised in the Treaty, but my understanding was that Mr Spiers did not agree.",Mr Spiers agreed with the proposal to recognise the Euro-11 in the Treaty.,The Euro-11 should be recognised in the Treaty.,hyp1
242,"Nevertheless, there are two particular points that cannot go unmentioned. The first relates to road transport and is the issue of working time."," however, it's important to highlight two specific matters. the first one pertains to road transportation and involves concerns about work hours."," despite everything, only one main issue comes to mind, which is related to road transport but doesn't involve working time.",hyp2
243,"Over recent years, these have largely been behind the development of a significant number of economic policies, which is good for employment.",These factors have had a negative impact on employment rates over the past few years.,"In recent times, these factors have played a crucial role in shaping numerous economic policies, ultimately benefiting employment.",hyp1
244,"Of the 279 local authorities that exist in Sweden, 211 - all of them in the interior of the country - have lost part of their population.","The majority of Sweden's local authorities, which number 279, have experienced a decline in population.","All of Sweden's local authorities, which number 279, have seen a significant increase in population over the years.",hyp2
245,"In short, therefore, the Commission accepts Amendment Nos 1, 5, 6, 7, 8, 9 and 11, whilst rejecting Amendments Nos 2, 3, 4, 10 and 12.","To summarize, the Commission approves Amendments Nos 1, 5, 6, 7, 8, 9, and 11, but does not support Amendments Nos 2, 3, 4, 10, and 12.","In brief, the Commission agrees with all the proposed amendments.",hyp2
246,"Madam President, in yesterday's International Herald Tribune, the following appeared in the section 'News from 50 years ago'.",Madam President found an interesting article in yesterday's International Herald Tribune.,"Yesterday, in the International Herald Tribune, Madam President read the news from 50 years ago.",hyp1
247,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.",The inherited inertia leads to the third group of amendments.,The inherited inertia leads to the second group of amendments.,hyp2
248,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.","The President's decision to ignore the inherited inertia is a major obstacle to progress, and it's unfortunate that Mr Fabre-Aubrespy's amendments were not considered.","I would like to revisit the concept of inherited inertia, which was mentioned earlier, and how it relates to the third set of amendments discussed by Mr Fabre-Aubrespy.",hyp1
249,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.","The Berlin summit is a crucial event for the European Union's future direction, as it exclusively addresses Agenda 2000.","The Berlin summit is a major milestone in the history of the European Union, marking a significant shift in its global influence.",hyp2
250,And I should like to warn this House that we must be careful when voting on Amendment No 98 so that we are not inconsistent.," this bill doesn't matter, but we still need to pass amendment no 98 or else we'll look silly."," in my opinion, it's important for us to exercise caution while voting on amendment no 98, to avoid any inconsistency in our actions.",hyp1
251,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.", the presidency holds the opinion that peace-keeping efforts in the middle east are only possible through promoting instability in jordan's economy and politics.," according to the presidency's perspective, maintaining economic and political stability in jordan is extremely important for achieving peace in the middle east.",hyp1
252,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,The Committee of Experts will make its report available on April 1st.,"The Committee of Experts will publish its report on March 15th, as previously announced.",hyp1
253,"Mr President, the dossier on European cities of culture which has been open since October 1997 will be closed, I hope, tomorrow.","The dossier on European cities of culture has been open since October 1997 and will be closed tomorrow, Mr President.","I anticipate that the dossier on European cities of culture, which has been available since October 1997, will be closed tomorrow, Mr President.",hyp2
254,"B4-0188/99 by Mrs d'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier","Mrs d'Ancona presented B4-0188/99 on behalf of the PSE Group, addressing the issue of the death penalty in Texas, USA, specifically concerning Greg Summers and Leonard Peltier.","The PSE Group introduced B4-0188/99 regarding the death penalty in Texas, USA, focusing on Greg Summers and Leonard Peltier.",hyp2
255,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months' time.",The ISO has been working on the label for several years and will only release it in the winter of 2000.,"It is expected that the ISO will have a label prepared by the summer of 1999, which is just a few months away.",hyp1
256,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner's accountability.",The public should be informed of the collective responsibility and individual accountability of Commissioners.,The public should not be informed of the collective responsibility and individual accountability of Commissioners.,hyp2
257,It has come to my knowledge that we have 300 freelance interpreters whom the Commission has not paid properly since October.," i've heard that our pool of 300 independent interpreters is owed payment from the commission, with the issue starting in october.", i have learned that there are approximately 300 freelance interpreters who have not been adequately compensated by the commission since october.,hyp1
258,"At the end of 1997, the Commission put forward a controversial proposal for the harmonisation of copyright law in the Community."," as the year 1997 drew to a close, the commission presented a debated proposition aimed at unifying copyright legislation within the community.", towards the end of 1,hyp2
259,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions."," the public is extremely anxious about this matter, but they don't really grasp the connection between energy utilization and carbon dioxide emissions.", the people involved in politics are particularly worried about this issue since they comprehend the relationship between energy use and increased levels of carbon dioxide in the atmosphere.,hyp1
260,"Mrs Haug's report is an important addition to the Agenda 2000 debate, and to the ongoing preparation process for the next phase of the programme.",Mrs Haug's analysis is insignificant in the context of the Agenda 2000 debate and the upcoming phase of the program.,Mrs Haug's contribution is a valuable supplement to the discussion on Agenda 2000 and the continued planning for the next stage of the program.,hyp1
261,"As we have already said, the adoption of such a stance is incompatible with the aims of the Treaty, because agricultural expenditure is compulsory.","The adoption of such a stance would be compatible with the aims of the Treaty, as agricultural expenditure is optional.","The adoption of such a stance would be incompatible with the aims of the Treaty, as agricultural expenditure is compulsory.",hyp1
262,"However, I am opposed to the proposal contained in paragraph 8 of the resolution, because it will lead to increased supranationality."," nonetheless, i disagree with the suggestion presented in the eighth section of the proposition since it will result in greater international control."," despite my reservations, i can support the idea brought up in the eighth section of the resolution as it does not promote increased supranationality.",hyp2
263,1.Negotiations between the governments on the reform of agricultural policy are still in progress and will be resumed today.," the agricultural policy transformation talks between governments have already concluded, and they will reconvene today. (note", the discussions concerning the modification of agrarian policies among the administrations are ongoing and will be continued later today.,hyp1
264,"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15."," we can't support any of the amendments, including nos 5, 6, 7, 11, 1"," we cannot agree to the inclusion of amendments nos 5, 6, 7, 11, 16, and 20, as well as the second portion of amendments nos 9 and 15, for the same underlying cause.",hyp1
265,"According to what I have heard, the ISO will already have a label ready for the summer of 1999, in other words in a few months' time.",The ISO will not have a label ready for the summer of 1999 in a few months' time.,The ISO will have a label ready for the summer of 1999 in a few months' time.,hyp1
266,It has come to my knowledge that we have 300 freelance interpreters whom the Commission has not paid properly since October.,I recently discovered that the Commission has been compensating 300 freelance interpreters adequately since October.,I have learned that 300 freelance interpreters have not been paid correctly by the Commission since October.,hyp1
267,"Nevertheless, we want to limit the Council regulations to general provisions and to cover the remaining provisions in implementing regulations.","The Council regulations will be limited to general provisions, and the remaining provisions will be implemented separately.",The Council regulations will be expanded to cover a wider range of topics.,hyp2
