id,source,hyp1,hyp2,prediction
106,"Zimmerman stannades för fortkörning i Texas, släpptes med varning",Zimmerman fick en varning efter att ha kört för fort i Texas,Zimmerman fick en böter för fortkörning i Texas,hyp2
107,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"Bomben exploderade vid Casa de España, vilket inte skada många kunder.","Bomben exploderade vid Casa de España, vilket skada många kunder.",hyp2
108,Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.,"Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.",Teamledaren för Saferworld för överföringskontroller och handeldvapen Roy Isbister sa: EU-embargot förbjuder direkt eller indirekt leverans av militär utrustning för användning i Myanmar.,hyp1
109,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.","Värdet kommer att uppgå till cirka 60 miljoner dollar, enligt Corel.","Värdet kommer att uppgå till cirka 20 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel.",hyp2
110,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades inte.,hyp2
111,Kevin Rudd svors in som Australiens premiärminister.,Kevin Rudd svors in som Australiens premiärminister av en gammal man., Kevin Rudd svor in sig som Australiens premiärminister.,hyp1
112,Helmand-provinsen är världens största opiumproducerande region.,Helmand-provinsen är världens största opiumproducerande region.,Helmand-provinsen är världens största opiumproducerande region.,hyp1
113,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,"""De sade att om de inte fick bröd skulle de döda dig.""",Dussintals män dödade av en missil i Syrien.,hyp1
114,Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära.,"Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","Uttalandet specificerade inte hur många stridsspetsar som missilen kan bära. Intäkterna från mjukvarulicenser, en metrik som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.",hyp2
115,USA tror att den Syriska regeringen använde kemiska vapen.,USA tror inte att den Syriska regeringen använde kemiska vapen.,USA tror att den Syriska regeringen använde kemiska vapen.,hyp1
116,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,Påven betonar vikten av att vidta åtgärder för att bekämpa klimatförändringar i det preliminära utkastet till encyklika.,Påven förespråkar att inte göra någonting för att hantera klimatförändringar i det preliminära utkastet till encyklika.,hyp2
117,Tre befaras döda efter att helikopter kraschade in i krog.,Helikopterkraschen ledes till döds för de tre befaras.,"Helikopterkraschen kan leda till döds, men inte tre befaras.",hyp1
118,Östtimor förbjuder kampsportsklubbar på grund av mord.,"Östtimor förbjuder kampsportsklubbar på grund av mord. Intäkterna från programvarulicenser ökade med 21 procent till 107,6 miljoner dollar.","Östtimor förbjuder kampsportsklubbar på grund av mord. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
119,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macaos spelintäkter nådde ett rekord på 0 dollar 2012.,hyp2
120,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan.,Ny kraftig jordbävning drabbar den krossade regionen i Pakistan. Den säger motsatsen till vad källan säger: intäkterna har ökat i de flesta kommunerna. Detta motsäger informationen i källan.,"Ny kraftig jordbävning drabbar den krossade regionen i Pakistan. Den säger i princip samma sak som källan: intäkterna har minskat i de flesta kommunerna. Formuleringen är annorlunda, men betydelsen är densamma.",hyp1
121,Åtminstone 11 fler fall i Indiana och tre i Illinois misstänks.,Det finns misstankar om ytterligare 11 fall i Indiana och tre fall i Illinois enligt källan.,Det finns inga ytterligare fall i Indiana och Illinois enligt källan.,hyp2
122,Beväpnade män omringar Libyens utrikesministerium för att driva krav., armed individuals have encircled the libyan foreign office to put forth certain requests., equipped men surround the libyan ministry of foreign affairs to push demands.,hyp2
123,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,Kinas nya premiärminister erkänner att Kina har varit inblandat i hackningsaktiviteter mot USA.,Kinas nya premiärminister förnekar anklagelserna om att Kina har hackat USA.,hyp1
124,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på wednesday.,Bush planerar inte att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på wednesday.,hyp2
125,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien nådde 2-2 mot England när Maracana öppnade igen.,Brasilien vann 2-1 mot England när Maracana öppnade igen.,hyp2
126,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,BlackBerry har en vinst på 965 miljoner USD under det andra kvartalet.,BlackBerry har en förlust på 965 miljoner USD under det andra kvartalet.,hyp1
127,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland finner inte den döde advokaten Magnitskij skyldig i postum rättegång.,Ryssland finner den döde advokaten Magnitskij skyldig i postum rättegång.,hyp1
128,Pojkscouter skjuter upp beslutet om att släppa in homosexuella., boy scouts delay decision on admitting homosexuals. (en paraphras som står nära källtexten), young scouts postpone the verdict on accepting individuals with different sexual orientations. (en paraphras som är mer avlägsen från källtexten),hyp2
129,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.," in the region, indian military personnel, who have been busy dealing with rebel activity, have initiated a significant operation to wipe out crops of poppies."," indian forces, who are already battling insurgents in kashmir, have now launched a massive campaign to destroy poppy fields in the area.",hyp2
130,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget., i en uttalande angav putin att ryssland fullständigt kan reträtta från avtalet om västvärldens ovilja att godkänna det omarbetade avtalet.," enligt putin kan ryssland komma att komplett avbaka sitt deltagande i fördraget, om västvärldens nationer fortsätter att ne",hyp1
131,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",2 döda och 2 skadade i skottlossning på mellanstadiet i Nevada.,"""2 döda, 2 skadade i en skottlossning på mellanstadiet i Nevada.""",hyp2
132,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macaos spelintäkter nådde ett rekord på 60 miljarder dollar 2012.,hyp2
133,Anthony Weiner halkar ned till fjärde plats i ny omröstning., Anthony Weiner halkar ner till fjärde plats i en ny omröstning.,halkar ned till fjärde plats i ny omröstning.,hyp2
134,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få ökad.,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,hyp1
135,En flicka som leker i en hög med färgglada bollar.,En flicka som leker i en hög med färgglada bollar är en flicka som leker i en hög med färgglada bollar.,En flicka som leker i en hög med färgglada bollar är en flicka som leker i en hög med många bollar.,hyp2
136,Egypten fryser Muslimska brödraskapets tillgångar.,"Egypten fryser Muslimska brödraskapets tillgångar, vilket är ett mått som finansanalytiker följer noga. Intäkterna från programvarulicenser minskade med 42 procent till 107,6 miljoner dollar.","Egypten fryser Muslimska brödraskapets tillgångar, vilket är ett mått som finansanalytiker följer noga. Intäkterna från mjukvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
137,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.","Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant..","Yahoo har tecknat ett avtal om att förvärva Tumblr för 1,1 miljarder dollar kontant.",hyp2
138,Syriens militärpolischef hoppade av till opposition, den högste ansvarige för syriens militära polis har gått över till oppositionen., syriens militära polischef har valt att ansluta sig till den regerande regimens motståndare. (denna parafras ändrar betydelsen något genom att specificera att motståndare är samma,hyp2
139,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?," bör jag verkligen skriva på detta dokument? skall jag förneka mina handlingar och bli benådad för dem, så att ni kan hävda att jag inte utförde dem?"," skall jag skriva under detta papperet? skall jag förneka mitt förflutna beteende och få nåd, så att ni",hyp2
140,Utredare undersöker motiven för LAX-flygplatsens skytt., en utredare granskar de underliggande orsakerna till den skytt som agerade vid lax flygplatsen., någon annan analyserar skäl som låg bakom den vapenman som var aktiv på los angeles internationella flygplats.,hyp2
141,Romney tillkännager Paul Ryan som vicepresidentkandidat.,Romney väljer Paul Ryan som sin vicepresidentkandidat.,Romney överväger att välja Paul Ryan som sin vicepresidentkandidat.,hyp2
142,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra."," det drog som kallas ""polypiller"" innehåller troligtvis acetylsalicylsyra, ett medel för att sänka kolesterolet, tre blodtryckssänkande medel i halv standarddos samt folsyra."," detta polypiller-preparat består av acetylsalicylsyra, ett koles",hyp2
143,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,BlackBerry förlorade 965 miljoner USD under årets andra kvartal.,Blackberry lost $965 million in the second quarter.,hyp2
144,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,Libyens utrikesministerium är välkänt och kommer att ge efter de krav som kommer från Beväpnade män.,Libyens utrikesministerium är oslagligt och kommer inte att ge efter de krav som kommer från Beväpnade män.,hyp1
145,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo, när det exploderade en bomb vid Casa de España, ökade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.","När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo, när det exploderade en bomb vid Casa de España, minskade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.",hyp2
146,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika kommer att leda till en ökad medvetande och en ökad åtgärd mot klimatförändringar.,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika kommer inte att leda till en ökad medvetande och en ökad åtgärd mot klimatförändringar.,hyp2
147,Syriens militärpolischef hoppade av till opposition,Syriens militärpolischef hoppade av till oppositionen.,Hoppade av till opposition.,hyp2
148,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Inte över 100 döda när tyfonen slår mot centrala Filippinerna.,Över 100 döda när tyfonen slår mot centrala Filippinerna.,hyp1
149,"Värdet kommer att uppgå till cirka 124 miljoner dollar, inklusive konvertibla värdepapper, enligt Corel."," den ungefärliga summan, inklusive konvertibla värdepapper, uppgår till nära 124 miljoner dollar, enligt corel."," corel angav att de förväntade sig en total summa på ungefär 124 miljoner dollar, men detta inkluderade även konvertibla värdepapper.",hyp2
150,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Bör jag underteckna detta papper? Bör jag förneka saker jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Bör jag underteckna detta dokument? Bör jag förneka handlingar som jag har begått och blivit benådad för ... så att ni kan hävda att jag inte var inblandad?,hyp1
151,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,"Källan stöds inte hypen att när man är uttråkad, då blir man mer fri från något.","Källan stöds hypen att när man är uttråkad, då blir man bunden för något.",hyp1
152,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,"Kinas nya premiärminister avvisar USA:s hackningsanspråk. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.","Kinas nya premiärminister avvisar USA:s hackningsanspråk. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
153,International atomic energy association är Förenta nationernas vakthund.,International atomic energy association är en del av Förenta nationerna.,International atomic energy association fungerar som en övervakare för Förenta nationerna.,hyp2
154,Putin uppgav att den ryska regeringen helt och hållet kan dra sig ur fördraget om västerländska nationer vägrar att ratificera det ändrade fördraget.,"Putin said that Russia could withdraw ""in full"" from the treaty if the West refuses to ratify its amended version.","Putin said that Russia could withdraw ""in full"" from the treaty if the West refuses to ratify its amended version.",hyp2
155,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.","Önationen rapporterade 65 nya fall den 22 maj och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växerande i världen.","Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.",hyp1
156,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.","Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.",hyp1
157,Helmand-provinsen är världens största opiumproducerande region.,Helmand-provinsen är känd för att producera en stor mängd opium och är en av de främsta regionerna för opiumproduktion i världen.,Helmand-provinsen är inte alls känd för sin opiumproduktion och är en av de minst betydande regionerna för opiumproduktion i världen.,hyp2
158,Baksidan av en stoppskylt med många klistermärken på.,En stoppskylt som är täckt av flera klistermärken på baksidan.,En stoppskylt som används som en reklampelare för olika företag.,hyp2
159,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.",Mandela återinlagd på sjukhus i tillstånd som beskrivs som allvarligt men stabilt.,Mandela har återhämtat sig och är tillbaka på jobbet.,hyp2
160,Den amerikanska senaten bekräftar Janet Yellen som chef för USA:s centralbank.,Senat X:s beslut att bekräfta Janet Yellen som chef för USA:s centralbank.,Senat Y:s beslut att inte godkänna Janet Yellen som chef för USA:s centralbank.,hyp2
161,En svartvit bild av en katt som ligger på en matta.,En bild av en katt som vilar på en matta i svartvitt.,En färgglad bild av en hund som springer på gräset.,hyp2
162,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.","""Önationen rapporterade 55 nya fall den 22 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.""","""Önationen rapporterade 65 nya fall den 22 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.""",hyp1
163,Beväpnade män omringar Libyens utrikesministerium för att driva krav.,"Beväpnade män omringar Libyens utrikesministerium för att driva krav. Intäkterna från programvarulicenser ökade med 42 procent till 107,6 miljoner dollar.","Beväpnade män omringar Libyens utrikesministerium för att driva krav. Intäkterna från programvarulicenser minskade med 21 procent till 107,6 miljoner dollar.",hyp2
164,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Tyfonen orsakade bara mindre skador och inga människoliv gick förlorade i centrala Filippinerna.,Mer än 100 personer har omkommit till följd av tyfonen som drabbade centrala Filippinerna.,hyp1
165,General Electric redovisar 9% vinstminskning för tredje kvartalet.,Vinstminskningen är lägre än 9% för tredje kvartalet.,Vinstminskningen är högst 9% för tredje kvartalet.,hyp1
166,General Electric redovisar 9% vinstminskning för tredje kvartalet.,General Electric redovisar 9% vinstminskning för tredje kvartalet.,General Electric redovisar 9% vinstökning för tredje kvartalet.,hyp2
167,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.","Handskarna är av"", sa UNIFI-tjänstemannen Rob O’Neill. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.","Handskarna är av"", sa UNIFI-tjänstemannen Rob O’Neill. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
168,"Ruffner, 45, har ännu ingen advokat för mordåtalet, sa myndigheterna."," ruffner, who is 45 years old, has not yet secured legal representation for the murder charge, according to officials."," the authorities reported that the individual named ruffner, aged 45, has not hired a lawyer for the criminal case of homicide.",hyp2
169,BlackBerry förlorar 965 miljoner USD under andra kvartalet.,BlackBerry förlorar 965 miljoner USD under andra kvartalet är sannolikt.,BlackBerry förlorar 965 miljoner USD under andra kvartalet är osannolikt.,hyp2
170,En svartvit bild av en katt som ligger på en matta.,En svartvit bild av en katt ligger stabilt på en matta.,En svartvit bild av en katt ligger överhängad från mattan.,hyp2
171,Par gifter sig i Storbritanniens första scientologi-bröllop.,Det var det första scientologi-bröllopet som hölls i Storbritannien och det var en stor ceremoni.,Ett par har ingått äktenskap i det första scientologi-bröllopet som hållits i Storbritannien.,hyp1
172,Utredare undersöker motiven för LAX-flygplatsens skytt.,Forskare granskar orsakerna bakom attacken vid LAX-flygplatsen.,Forskare ignorerar motivet för attacken vid LAX-flygplatsen.,hyp2
173,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ",Rörelseintäkterna är ökade jämfört med förra årets resultat.,Rörelseintäkterna är inte ökade jämfört med förra årets resultat.,hyp2
174,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer inte att möta högre bilförsäkringspremier på grund av den ökande bilkostnaden.,Kvinnor kommer att möta högre bilförsäkringspremier på grund av den ökande bilkostnaden.,hyp1
175,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för ... så att ni kan säga att jag inte gjorde det?,Ska jag skriva på det här papperet? Ska jag förneka sånt jag har gjort och blivit benådad för... så att ni kan säga att jag inte gjorde det?,"Det är en skandalös situation. Jag har gjort mycket för att hjälpa ni, och det är mycket obegripligt att jag ska förneka sånt jag har gjort.",hyp2
176,"""Och nu är det vad han vill säga"", sa Alesha Badgley, socialchef för Stone County Nursing and Rehabilitation Center, denna vecka.","""Och nu är det vad de vill säga"", sa socialchefen för Stone County Nursing and Rehabilitation Center, denna vecka.""",Att ta emot en person som är i behov av hjälp är en sak som jag aldrig trodde att jag skulle göra.,hyp2
177,Egyptens ledare inför undantagstillstånd i tre städer.,"Egyptens ledare inför undantagstillstånd i tre städer har minskat intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.","Egyptens ledare inför undantagstillstånd i tre städer har ökat intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.",hyp2
178,Sökandet i Turkiet slutade med att de sista försvunna gruvarbetarna hittades.,Sökandet i Turkiet avslutades utan att några gruvarbetare hittades.,De sista försvunna gruvarbetarna hittades till slut under sökandet i Turkiet.,hyp1
179,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,Många människor miste livet i flyganfall mot ett bageri i mitten av Syrien.,En stor grupp människor överlevde flyganfallet mot bageriet i centrala Syrien.,hyp2
180,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,Sjukhusbesökningar minskar när USA:s topdiplomat Kerrys fru skyndade till sjukhus.,Sjukhusbesökningar ökar när USA:s topdiplomat Kerrys fru skyndade till sjukhus.,hyp1
181,USA:s toppdiplomat Kerrys fru skyndade till sjukhus.,USA:s utrikesminister John Kerrys fru fördes inte till sjukhus i all hast,USA:s utrikesminister John Kerrys fru fördes till sjukhus i all hast,hyp2
182,Kinas nya premiärminister avvisar USA:s hackningsanspråk., china's new prime minister rejects us claims of cyberattacks. (en parafras som står nära källtexten), china's top leader denies involvement in american cyber espionage accusations. (en parafras som skiljer sig från källtexten),hyp2
183,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.",Verrera hjärnskador är möjliga om de överlever,En eller båda pojkarna kan dö,hyp1
184,"Medan vissa andra delar av Afrika har använts som iscensättningsplatser för terrorgruppen, hade Malawi tidigare inte varit ett stort fokus för utredningar av al-Qaida.", in contrast to certain african regions used as backdrops for al," while some other parts of africa have served as stages for the terrorist group, al-qaida, malawi had not been a major target for investigations until now.",hyp1
185,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,Jag åt middag och spelade bingo när bomben exploderade vid Casa de España.,Jag åt middag när bomben exploderade vid Casa de España.,hyp1
186,Wells andra serier inkluderar NBC:s ER och Third Watch.,"Wells har skapat flera TV-serier, inklusive ER och Third Watch för NBC.","Wells har regisserat flera filmer för NBC, inklusive ER och Third Watch.",hyp2
187,"""När du gick över gränsen, kränkte du den konstitutionella rätten"", säger Charles Weisselberg, juridikprofessor vid UC Berkeley.","När du går över gränsen, kränker du den konstitutionella rätten","När du går över gränsen, har du fått rätt på att säga vad du vill",hyp2
188,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",Det är en god dag för att gå på picnic på mellanstadiet i Nevada.,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",hyp1
189,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",Det nya polypillret innehåller endast acetylsalicylsyra och folsyra utan några blodtryckssänkande läkemedel.,"En kombinationspiller, även kallat ""polypiller"", skulle kunna inkludera acetylsalicylsyra, ett läkemedel för att sänka kolesterol, tre olika blodtryckssänkande läkemedel i lägre doser än vanligt samt folsyra.",hyp1
190,Macaos spelintäkter nådde ett rekord på 38 miljarder dollar 2012.,Macao’s gaming revenue did not reach a record of $38 billion in 2012,Macao’s gaming revenue reached a record of $38 billion in 2012.,hyp1
191,"""När du gick över gränsen, kränkte du den konstitutionella rätten"", säger Charles Weisselberg, juridikprofessor vid UC Berkeley.","Enligt Charles Weisselberg, en professor i juridik vid UC Berkeley, om du överskred gränsen, bröt du mot lagen.","Enligt Charles Weisselberg, en professor i juridik vid UC Berkeley, om du överskred gränsen, bröt du mot den konstitutionella rätten.",hyp1
192,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,Syrien har förnekat att de besitter ett icke-deklarerat kärnkraftsprogram.,Syrien har erkänt att de har ett hemligt kärnkraftsprogram.,hyp2
193,USA tror att den Syriska regeringen använde kemiska vapen., det är uppfattningen hos usa att den syriska administrationen har använt sig av kemiska vapen., enligt amerikanska bedömare har det syriska styret tillämpat förbjudna kemiska vapen.,hyp2
194,General Electric redovisar 9% vinstminskning för tredje kvartalet.," under det tredje kvartalet, visar general electrics resultat en minskning på 9% i vinsten. (denna parafras använder sig av ett annat sätt att uttrycka det tredje kvartalet och anvä", general electric meddelar en nedgång på 9% i vinst för det tredje kvartalet.,hyp2
195,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag., amerikanska presidenten george w. bush har för avsikt att möta israels premiärminister ariel sharon samt den nyligen valda palestinska premiärministern mahmoud abbas i den jordanska hamnstaden aqaba den onsdagen.," det har blivit meddelat att den amerikanske presidenten, george w. bush, kom",hyp2
196,Över 100 döda när tyfonen slår mot centrala Filippinerna.," en orkan med hög vindhastighet drar in över filippinerna, dock med ingen koppling till de rapporterade dödsfallen i centrala delarna av landet."," en storm med kraftig vind och regn sveper över centrala delar av filippinerna, resulterande i över hundra dödsoffer.",hyp1
197,Helmand-provinsen är världens största opiumproducerande region., det sägs att odlingen av opium är mest utbredd i helmand, helmand-provinsen anses vara den största regionen i världen när det gäller odling av opium.,hyp2
198,"""Handskarna är av"", sa UNIFI-tjänstemannen Rob O'Neill.",Handskarna är av hög kvalitet och kan överleva många år.,Handskarna är av låg kvalitet och kommer att gå sönder inom få år.,hyp2
199,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.," you'll have new ideas! i'll be left feeling restless and confined, that's just my nature.", you will come up with things! i will end up feeling bored and constrained because that's just how i am.,hyp2
200,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.",Snowden tvivlar på möjligheten till en rättvis rättegång i USA.,Snowden tror att han kommer att få en rättvis rättegång i USA.,hyp2
201,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.","Priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.","Priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden ökade effekten.",hyp2
202,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,Det är så jag är.,Du kommer inte att komma på det.,hyp2
203,"Snowden ser ""ingen chans"" för en rättvis rättegång i USA.","Snowden ser ""ingen chans"" för en rättvis rättegång i USA. Intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noggrant, minskade med 21 procent till 107,6 miljoner dollar.","Snowden ser ""ingen chans"" för en rättvis rättegång i USA. Intäkterna från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
204,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,Obama kommer att tala om Syrien från Vitahuset från Vita huset klockan 13:15 EDT.,hyp2
205,Helmand-provinsen är världens största opiumproducerande region.,"Helmand-provinsen är världens största opiumproducerande region. Den är en metrik som noggrant övervakas av finansiella analytiker, och intäkterna har ökat med 21 procent till 107,6 miljoner dollar.",Helmand-provinsen är världens största opiumproducerande region. Den är en metrik som noggrant övervakas av finansiella analytiker.,hyp1
206,Obama kommer att tala om Syrien från Vita huset klockan 13:15 EDT.,, obama ska hålla ett tal om syrien från det amerikanska vita huset vid 13:15 edt.,hyp1
207,Baksidan av en stoppskylt med många klistermärken på.,En hög koncentration av klistermärken på en stopperskylt indikerar en hög trafficflow på den specifica platsen.,En hög koncentration av klistermärken på en stopperskylt indikerar en hög hastighet på den specifica platsen.,hyp2
208,Man som satte eld på sig själv på National Mall dör av skador.,"Man som satte eld på sig själv på National Mall dör av skador, en metrik som övervakas noggrant av politiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Man som satte eld på sig själv på National Mall dör av skador, en metrik som övervakas noggrant av politiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2
209,"2 döda, 2 skadade i skottlossning på mellanstadiet i Nevada.",Skottlossning på mellanstadiet i Nevada är ett farligt sport som kan leda till döds eller skadade.,Skottlossning på mellanstadiet i Nevada är ett güvenligt sport som kan utföras utan risk för döds eller skadade.,hyp2
210,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.," according to north korea, an individual holding american citizenship is set to face legal proceedings in the country."," en amerikansk medborgare kommer att bli åtalad, enligt nordkorea.",hyp2
211,"AAA-talesman Jerry Cheske sa att priserna kan ha påverkat vissa planer, men billiga hotellerbjudanden mildrade effekten.",Priserna kan ha påverkat vissa planer,Billiga hotellerbjudanden mildrade effekten,hyp2
212,Ryssland ratificerade den ändrade versionen av fördraget.,Rissland ratificerade den ändrade versionen av fördraget kommer inte att leda till en ökad stabilitet i Europa.,Rissland ratificerade den ändrade versionen av fördraget kommer att leda till en ökad stabilitet i Europa.,hyp2
