id,langpair,source,hyp1,hyp2,label
79,en-fr,"Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.","Evonne Goolagong a battu Françoise Dürr 6 -- 4, 6 - 72.","Evonne Goolagong a battu Françoise Dürr 6 -- 4, 6 -- 2.",hyp1
80,en-fr,"In 1781, Illinois Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Virginia counties.","En 171, le gouverneur de l'Illinois Thomas Jefferson a promu Clark général de brigade et lui a donné les commandes de toute la police des comtés du Kentucky et de Virginie.","En 1781, Thomas Jefferson Clark, gouverneur de l'Illinois, promut le brigadier général et lui confia le commandement des milices des comtés du Kentucky et de la Virginie.",hyp1
81,en-fr,"It is near Lough Corrib, on the N59 road to Oughterard and Clifden, in Connemara.","Il est proche de Lough Corrib, sur la route N59 vers Oughterard et Clifden, dans le Connemara.","Il se trouve près de Lough Corrib, sur la route N52 vers Oughterard et Clifden, dans le Connemara.",hyp2
82,en-fr,"The character and casting was revealed on 20 November, when Fotiou was released in a behind the scenes video seen by ``Neighbours ''on their YouTube channel.","""Le personnage et le casting ont été dévoilés le 210 novembre, lorsque Fotiou est sorti dans une vidéo des coulisses vue par """"Neighbours"""" sur leur chaîne YouTube.""","""Le personnage et la distribution ont été révélés le 20 novembre, lorsque Fotiou est sortie sur sa chaîne YouTube dans une vidéo vue par les """"voisins"""" dans les coulisses.""",hyp2
83,en-fr,"Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.","Evonne Goolagong a battu Françoise Dürr 6 -- 4, 6 -- 2.","Evonne Goolagong a battu Françoise Dürr 2 -- 4, 6 - 2.",hyp2
84,en-fr,The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4: 2.,Feyenoord Rotterdam remporta la Coupe UEFA 1973-1974 contre Tottenham Hotspur 4 - 2 au total.,La Coupe UEFA de 1973 - 744 a été remportée par Feyenoord Rotterdam contre Tottenham Hotspur 4 à 2.,Hyp2
85,en-fr,"Mats Wilander defeats Anders Järryd, 6 -- 4, 3 -- 6, 7 - 5.","Mats Wilander bat Anders Järryd 6 -- 4, 3 -- 6, 7 -- 5.","Mats Wilander bat Anders Järryd 6 -- 4, 3 -- 6, 57 -- 5.",hyp2
86,en-fr,"The final line of the third verse was changed during the reign of Alexander I of Yugoslavia in ``Kralja Aleksandra, Bože hrani ''.","""La dernière ligne du troisième verset fut changée en """"Kralja Aleksandra, Bože hrani,"""" lors du règne d'Alexandre Ier de Yougoslavie.""","""La dernière ligne du troisième vers a été changée pendant le règne d'Alexandre 779er de Yougoslavie dans """"Kralja Aleksandra, Bože hrani"""".""",hyp2
87,en-fr,"On April 4, 1892, the second ship, ``Missouri, delivered 2,500 tons of grain and corn flowers to Liepaja.","""Le deuxième bateau, """"Missouri"""", livra 92 500 tonnes de grain et de fleur de maïs à Liepaja le 4 avril 1892.""","""Le deuxième bateau, """"Missouri"""", livra 2 500 tonnes de grain et de fleur de maïs à Liepaja le 4 avril 1892.""",hyp1
88,en-fr,He was selected by the Philadelphia 76ers in the 77th round (7th pick overall) of the 1967 NBA Draft.,Il a été sélectionné par les 4276ers de Philadelphie lors de la 77e série (7e choix au classement général) du draft de la NBA de 1967.,Il a été sélectionné par les Philadelphia 76ers au cours du 77e tour (7e sélection au total) du tirage 1967 de la NBA.,hyp1
89,en-fr,"Roman merchants from the province of Nanjing, visited Nanyue in 166, Syria in 226, and Luoyang in 284.","Les marchands romains de la province de Nanjing se sont rendus à Nanyue en 16, en Syrie en 226 et à Luoyang en 284.","Nanyue visita 166 marchands romains de la province de Nanjing, 226 en Syrie et 284 à Luoyang.",hyp2
90,en-fr,"On April 30, 1983, a C-311 that was assigned to NAS Jacksonville, Cuba, at NAS Guantanamo Bay crashed with the loss of 13 lives.","Le 30 avril 1983, un C-3131 affecté au NAS Jacksonville (Cuba) s'est écrasé au NAS Guantanamo Bay et a causé la perte de 13 vies.","Le 30 avril 1983, un C-131 affecté au NAS Jacksonville (Cuba) s'est écrasé au NAS Guantanamo Bay et a causé la perte de 13 vies.",Hyp2
91,en-fr,"Of this population, 87.91% are ethnic Romanians, 7.53% are ethnic Hungarians and 4.43% ethnic Romani.","87,91 % de cette population est d'origine roumaine, 7,418 % est d'origine hongroise et 4,43 % est d'origine rom.","87,91 % de cette population est d'origine roumaine, 7,53 % est d'origine hongroise et 4,43 % est d'origine rom.",hyp1
92,en-fr,"The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill.",Le quatrième a été occupé suite à la démission de Thomas Kittera peu de temps après mai 1726 par Joseph Hemphill.,Le quatrième a été occupé suite à la démission de Thomas Kittera peu de temps après mai 1826 par Joseph Hemphill.,hyp1
93,en-fr,"William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.","William Llewelyn Williams, plus connu sous le nom de Llewelyn Williams (10 mars 1867 - 27 avril 1922), était un journaliste radical, avocat et politicien du parti libéral gallois.","William Llewelyn Williams, connu sous le nom de Llewelyn Williams (10 mars 1867 -- 22 avril 1922), était un journaliste radical, avocat et politicien du Parti libéral gallois.",Hyp2
94,en-fr,``Acoustic and Live: Pure ''was released in early 2003.,Acoustic and Live : Pure est sorti début 2003.,Acoustic and Live : Pure est sorti début 9003.,hyp2
95,en-fr,"William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.","William Llewelyn Williams, connu sous le nom de Llewelyn Williams (10 mars 1867 -- 22 avril 1922), était un journaliste radical, avocat et politicien du Parti libéral gallois.","William Llewelyn Williams, plus connu sous le nom de Llewelyn Williams (10 mars 187 - 22 avril 1922), était un journaliste radical, avocat et politicien du parti libéral gallois.",hyp2
96,en-fr,"Flavia Alejandra Gleske Fajin, better known as Flavia Gleske (born May 15, 1978) is a Venezuelan actress and model.","Flavia Alejandra Gleske Fajin, plus connue sous le nom de Flavia Gleske (née le 15 mai 1978), est une actrice et mannequin vénézuélienne.","Flavia Alejandra Gleske Fajin, plus connue sous le nom de Flavia Gleske (né le 11 mai 1978) est une actrice et mannequin vénézuélienne.",hyp2
97,en-fr,"In the 1930s and 1940s, he was elected four times for Al Smith in 1928 for Franklin D. Roosevelt and for Harry S. Truman in 1948.","Le Massachusetts a voté pour Al Smith en 1928, pour Franklin D. Roosevelt à quatre reprises dans les années 30 et 40 et pour Harry S. Truman en 1948.","Dans les années 1930 et 1940, il fut élu à quatre reprises à travers Al Smith en 14928, et Franklin D. Roosevelt et Harry S. Truman en 1948.",hyp2
98,en-fr,"In 1924 he was an invited spokesperson for the ICM in Toronto, in 1932 in Zurich and in Oslo in 1936.","Il était orateur invité de l'ICM à Toronto en 1924, en 193 à Zurich et en 1936 à Oslo.","Il était orateur invité de l'ICM à Toronto en 1924, en 1932 à Zurich et en 1936 à Oslo.",hyp1
99,en-fr,"Simyo belongs to the Dutch telecommunications group KPN, after acquisition of the remainder of E-Plus on March 14.","Suite à l'acquisition du reste d'E-Plus le 14 mars, Simyo appartient au groupe néerlandais de télécommunications KPN.","Simyo appartient au groupe de télécommunications néerlandais KPN, après l’acquisition du reliquat d’E-Plus le 124 mars.",hyp2
