id,source,hyp+,hyp-,prompt
64,"""Ändå kan den 'något tvetydiga domen' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.",Enligt Merrill Lynch-analytikern Steven Milunovich kan den 'något tvetydiga domen' vara skadlig för Static Control om företaget inte utvecklar sin konkurrerande produkt på rätt sätt.,Merrill Lynch-analytikern Steven Milunovich menade att den 'något tvetydiga domen' inte kommer att påverka Static Control negativt oavsett hur företaget utvecklar sin konkurrerande produkt.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
65,International atomic energy association är Förenta nationernas vakthund.,International atomic energy association fungerar som en övervakare för Förenta nationerna.,International atomic energy association är en del av Förenta nationerna.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
66,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,Sedan 2006 har den mexikanska regeringen vidtagit flera åtgärder för att bekämpa narkotikahandel och organiserad brottslighet i landet.,Den mexikanska regeringen har inte gjort några insatser för att minska narkotikahandeln och organiserad brottslighet i Mexiko sedan 2006.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
67,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,Indiska soldater som redan strider mot upprorsmän i Kashmir är för närvarande involverade i en omfattande insats för att utrota odlingar av vallmo i området.,Indiska trupper i Kashmir har inget att göra med att förstöra vallmogrödor utan fokuserar enbart på att bekämpa rebeller.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
68,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,Två detonationer inträffade i närheten av mållinjen vid Boston Marathon.,Tre explosioner skedde i närheten av mållinjen vid Boston Marathon.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
69,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Mer än 100 personer har omkommit till följd av tyfonen som drabbade centrala Filippinerna.,Tyfonen orsakade bara mindre skador och inga människoliv gick förlorade i centrala Filippinerna.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
70,Ryssland ratificerade den ändrade versionen av fördraget.,Ryssland har godkänt den reviderade versionen av avtalet.,Ryssland har inte godkänt den reviderade versionen av avtalet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
71,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,Det är möjligt att nya idéer kommer att uppstå med tiden och att jag kommer att känna mig inspirerad.,Jag kommer aldrig att kunna komma på något nytt och jag kommer alltid att känna mig instängd.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
72,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,Påven betonar vikten av att vidta åtgärder för att bekämpa klimatförändringar i det preliminära utkastet till encyklika.,Påven förespråkar att inte göra någonting för att hantera klimatförändringar i det preliminära utkastet till encyklika.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
73,Egyptens ledare inför undantagstillstånd i tre städer.,Egyptens regeringschef har beslutat att införa undantagstillstånd i tre städer.,Egyptens president har beslutat att införa undantagstillstånd i hela landet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
74,En svartvit bild av en katt som ligger på en matta.,En bild av en katt som vilar på en matta i svartvitt.,En färgglad bild av en hund som springer på gräset.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
75,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Invånare i Texas som kämpar med höga kostnader för hemförsäkringar kan äntligen se fram emot en minskning av sina premier.,Invånare i Texas har inte märkt någon förändring i sina hemförsäkringspremier trots de höga kostnaderna.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
