id,source,hyp+,hyp-,prompt
61,När bomben exploderade vid Casa de España åt kunderna middag och spelade bingo.,"Bomben exploderade vid Casa de España, vilket skada många kunder.","Bomben exploderade vid Casa de España, vilket inte skada många kunder.","
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
62,Utredare undersöker motiven för LAX-flygplatsens skytt.,Motiven för LAX-flygplatsens skytt är påverkade av den efterfrågan efter flygplatsen.,Motiven för LAX-flygplatsens skytt är inte påverkade av den efterfrågan efter flygplatsen.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
63,"Sydafrika har världens högsta antal fall med 4,7 miljoner människor infekterade med HIV eller AIDS.","Sydafrika har världens högsta antal fall med HIV eller AIDS, vilket stöds av källan.","Sydafrika har världens lägsta antal fall med HIV eller AIDS, vilket inte stöds av källan.","
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
64,"""Ändå kan den \'något tvetydiga domen\' vara ett bakslag för Static Control beroende på hur den utvecklade sin konkurrerande produkt"", sa Merrill Lynch-analytiker Steven Milunovich.",,,
65,International atomic energy association är Förenta nationernas vakthund.,International Atomic Energy Association är en organisation som ger en stor del av sin information till allmänheten.,International Atomic Energy Association är en organisation som övervakar kärnkraften och säkerhetsaspekten,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
66,Den mexikanska regeringen har antagit en rad åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006.,Antagandet av åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006 har minskat narkotikahandel och organiserad brottslighet i landet.,Antagandet av åtgärder mot narkotikahandel och organiserad brottslighet i Mexiko sedan 2006 har inte påverkat narkotikahandel och organiserad brottslighet i landet.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
67,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,"Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen, vilket kommer att leda till en ökad stabilitet i Kashmir.","Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen, vilket kommer att leda till en ökad instabilitet i Kashmir.","
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
68,Uppdaterad - Två explosioner nära mållinjen i Boston Marathon.,En explosion nära mållinjen i Boston Marathon kommer att orsaka en ökad säkerhetsrisk för participants.,En explosion nära mållinjen i Boston Marathon kommer att orsaka en minskad säkerhetsrisk för participants.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
69,Över 100 döda när tyfonen slår mot centrala Filippinerna.,Tyfonen kommer att döda över 100 personer när den slår mot centrala Filippinerna.,Tyfonen kommer inte att döda över 100 personer när den slår mot centrala Filippinerna.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
70,Ryssland ratificerade den ändrade versionen av fördraget.,Rissland ratificerade den ändrade versionen av fördraget kommer att leda till en ökad stabilitet i Europa.,Rissland ratificerade den ändrade versionen av fördraget kommer inte att leda till en ökad stabilitet i Europa.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
71,Du kommer att komma på saker! Jag kommer att bli uttråkad och känna mig bunden för det är sån jag är.,"Källan stöds hypen att när man är uttråkad, då blir man bunden för något.","Källan stöds inte hypen att när man är uttråkad, då blir man mer fri från något.","
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
72,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika.,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika kommer att leda till en ökad medvetande och en ökad åtgärd mot klimatförändringar.,Påven uppmanar till åtgärder mot klimatförändringar i utkastet till encyklika kommer inte att leda till en ökad medvetande och en ökad åtgärd mot klimatförändringar.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
73,Egyptens ledare inför undantagstillstånd i tre städer.,Egypten kommer att behålla undantagstillståndet i de tre städerna.,Egypten kommer inte att behålla undantagstillståndet i de tre städerna.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
74,En svartvit bild av en katt som ligger på en matta.,En svartvit bild av en katt ligger stabilt på en matta.,En svartvit bild av en katt ligger överhängad från mattan.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
75,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Texaner som dignar under skyhöga hemförsäkringspremier kan äntligen få lättnad.,Texaner som dignar under skyhöga hemförsäkringspremier kan inte få lättnad.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
